Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C13,100n,C_0603_1608Metric,132.355,-50.01,0.0,top
C19,100n,C_0603_1608Metric,132.355,-52.52,0.0,top
C7,22u,C_0805_2012Metric,123.715,-50.26,0.0,top
C9,22u,C_0805_2012Metric,123.715,-53.27,0.0,top
CN1,~,CONN-SMD_60P-P0.50_HCTL_HC-PBB23L-60DS-0.5V-G2-01,249.43,-78.87,0.0,top
CN2,~,CONN-SMD_HC-PBB23L-60DP-0.5V8-G2-01,69.085,-78.87,0.0,top
D2,1N5819,D_SOD-323,123.66,-56.25,0.0,top
D3,1N5819,D_SOD-323,128.06,-56.4,0.0,top
FB1,FerriteBead GZ2012D101TF,R_0805_2012Metric,128.145,-50.23,0.0,top
FB2,FerriteBead GZ2012D101TF,R_0805_2012Metric,128.145,-53.18,0.0,top
H1,PIN_HEADER_2x5 POWER,PinHeader_2x05_P2.54mm_Vertical_SMD,141.82,-53.405,90.0,top
