Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,154.62,-56.599343,-90.0,top
C10,0.1uF,C_0603_1608Metric,172.3,-62.14,90.0,top
C11,0.1uF,C_0603_1608Metric,169.25,-61.15,90.0,top
C12,0.1uF,C_0603_1608Metric,166.26,-76.74,-90.0,top
C13,0.1uF,C_0603_1608Metric,163.83,-62.12,90.0,top
C14,4.7uF,C_0603_1608Metric,162.05,-66.14,90.0,top
C15,0.1uF,C_0603_1608Metric,161.0,-72.59,180.0,top
C16,4.7uF,C_0603_1608Metric,161.425,-62.89,0.0,top
C17,10uF,C_0603_1608Metric,168.3,-76.74,-90.0,top
C18,0.1uF,C_0603_1608Metric,175.925,-66.19,0.0,top
C19,0.1uF,C_0603_1608Metric,167.75,-61.16,90.0,top
C20,0.1uF,C_0603_1608Metric,160.55,-66.14,90.0,top
C21,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,163.194344,-55.554999,-90.0,top
C22,22u 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,157.974344,-54.794999,90.0,top
C23,10u,C_0603_1608Metric,145.58,-71.87,180.0,top
C25,22u,C_0805_2012Metric,147.82,-74.52,90.0,top
C3,100n,C_0603_1608Metric,149.74,-74.47,90.0,top
C35,0.1uF,C_0603_1608Metric,152.2,-70.57,180.0,top
C36,0.1uF,C_0603_1608Metric,152.2,-79.92,0.0,top
C37,0.1uF,C_0603_1608Metric,165.36,-62.03,90.0,top
C4,22u 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.42,-55.156843,90.0,top
C5,12pF,C_0603_1608Metric,175.905,-72.65,180.0,top
C6,12pF,C_0603_1608Metric,175.925,-67.69,0.0,top
C7,0.1uF,C_0603_1608Metric,170.3,-76.74,-90.0,top
C8,0.1uF,C_0603_1608Metric,161.0,-69.29,180.0,top
C9,0.1uF,C_0603_1608Metric,175.91,-74.16,0.0,top
CN1,~,CONN-SMD_60P-P0.50_HCTL_HC-PBB23L-60DS-0.5V-G2-01,185.86,-69.4,-90.0,top
CN2,~,CONN-SMD_2P-P1.50_XUNPU_WAFER-ZH1.5-2PWB,155.88,-84.377,0.0,top
CN3,~,CONN-SMD_2P-P1.50_XUNPU_WAFER-ZH1.5-2PWB,163.061526,-84.377,0.0,top
D2,LED Test,LED_0805_2012Metric,149.67,-87.19,180.0,top
D3,1N5817,D_SOD-323,145.57,-57.86,180.0,top
L1,3.3uH,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,158.25,-65.47,-90.0,top
L2,"2.2uH, 4.8mOhm",L_Sunlord_SWPA4020S,146.74,-78.57,0.0,top
R1,100k 1% 0402,R_0402_1005Metric,143.52,-75.68,-90.0,top
R18,5.1k,R_0402_1005Metric,154.36,-64.310001,90.0,top
R19,5.1k,R_0402_1005Metric,152.7,-67.83,-90.0,top
R2,100K,R_0603_1608Metric,161.84,-75.9,180.0,top
R21,1.5k,R_0603_1608Metric,149.88,-85.25,180.0,top
R3,100K,R_0603_1608Metric,152.88,-78.3,180.0,top
R5,27R,R_0603_1608Metric,156.33,-67.59,180.0,top
R6,27R,R_0603_1608Metric,156.37,-69.1,180.0,top
R7,27R,R_0603_1608Metric,158.4,-62.89,0.0,top
R8,100K,R_0603_1608Metric,167.46,-85.42,-90.0,top
R9,2K,R_0603_1608Metric,180.62,-86.71,90.0,top
SW1,~,KEY-SMD_SKTDLHE010,177.18,-86.295,180.0,top
SW2,~,KEY-SMD_SKTDLHE010,171.53,-86.295,180.0,top
U1,W25Q128JVPIQ,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,156.46,-73.77,90.0,top
U3,TPS62163DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,145.45,-74.5,-90.0,top
U4,TLV76733DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,152.0175,-56.889343,0.0,top
U5,RP235x-B,QFN-80_EP_10x10_Pitch0.4mm,168.5,-69.44,90.0,top
U6,TLV76733DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,160.626844,-56.214999,0.0,top
USB1,TYPE-C_16PIN_2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,148.82,-64.385,-90.0,top
Y1,CM4012M00012001,Crystal_SMD_2520-4Pin_2.5x2.0mm,175.925,-70.165,-90.0,top
